#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
57.2%	286000	-905929.8373043924	299.39215284782466	303
57.4%	287000	-905475.6680082325	298.64606930007824	303
57.6%	288000	-905614.5700912871	297.83831229213826	303
57.8%	289000	-905265.8129876866	299.7703267342466	303
58.0%	290000	-906818.9088839483	298.5951878380501	302
58.2%	291000	-907630.7895264742	298.4072639631717	302
58.4%	292000	-906179.9225877803	299.50738858059856	302
58.6%	293000	-905798.3327027531	298.24816822802364	302
58.8%	294000	-906654.2333215247	300.20504307550965	302
59.0%	295000	-907484.8754422842	300.0946432925967	302
59.2%	296000	-905321.0216592345	300.88479240048866	302
59.4%	297000	-904780.4644857855	300.94642099551584	303
59.6%	298000	-907400.9497990585	300.598307714679	303
59.8%	299000	-906511.2069066791	299.4434461129204	303
60.0%	300000	-907465.9991750685	303.75783645616406	302
60.2%	301000	-907033.9984045094	301.85617928029944	302
60.4%	302000	-906250.680113479	300.61401059357394	302
60.6%	303000	-906261.1929590818	299.4113428508658	302
60.8%	304000	-904300.3148816461	297.98402564556727	303
61.0%	305000	-906302.0533241616	301.3837482133587	303
61.2%	306000	-907305.9645869057	299.88732150504416	303
61.4%	307000	-905537.6991118873	299.9422471836721	303
61.6%	308000	-906490.3258725307	301.42921017268236	303
61.8%	309000	-907661.6491142865	298.8391463600913	303
62.0%	310000	-907923.1464206316	299.22573816574567	302
62.2%	311000	-905876.2487116819	298.5937531468123	302
62.4%	312000	-906803.6847732305	300.56885285049026	302
62.6%	313000	-906488.4407893308	299.91726459948075	302
62.8%	314000	-906506.4273002911	299.22352036728887	302
63.0%	315000	-907096.6043157061	301.312161421284	302
63.2%	316000	-907592.7902870681	300.27643610288607	303
63.4%	317000	-907116.543126842	299.0095221393218	303
63.6%	318000	-907114.8036093232	299.19453241012195	303
63.8%	319000	-906787.7409788836	300.5404563448354	303
64.0%	320000	-906900.3753102082	302.38298219552877	302
64.2%	321000	-905605.4266463593	296.79028908790644	302
64.4%	322000	-906448.6134662181	300.04607408884806	302
64.6%	323000	-907049.7217646078	299.13246276479015	302
64.8%	324000	-906630.6462538252	299.68788471834137	302
65.0%	325000	-906703.6646052804	301.3778631493563	302
65.2%	326000	-905957.9055285081	300.0530888579837	302
65.4%	327000	-905763.6066858345	300.21903939598195	303
65.6%	328000	-907031.6352234078	298.634449970209	303
65.8%	329000	-905624.9139095596	299.1752177372762	303
66.0%	330000	-905749.9073745473	299.55397831971766	302
66.2%	331000	-906370.2911534463	303.27821108758	302
66.4%	332000	-905395.6800939632	299.93446239132305	302
66.6%	333000	-904677.3266680599	300.9717712531137	302
66.8%	334000	-904598.4676404009	299.05941679761384	302
67.0%	335000	-907011.6769495951	301.96168423882455	302
67.2%	336000	-906631.3376299795	301.33797553807045	302
67.4%	337000	-904704.367244361	298.27736960615954	302
67.6%	338000	-906942.9650970022	299.4163001958399	303
67.8%	339000	-907222.6925854967	298.14358818491814	303
68.0%	340000	-906176.2667468069	299.81671324154377	302
68.2%	341000	-904263.8231737912	299.3834275238052	302
68.4%	342000	-906492.8799839485	298.5928941612433	302
68.6%	343000	-906079.1030340809	301.02081406334804	302
68.8%	344000	-907429.5184955075	300.1766184403815	302
69.0%	345000	-906177.9230751083	300.1281918443999	302
69.2%	346000	-904814.0455312966	296.912052748941	303
69.4%	347000	-904728.7924467702	299.96718115516603	303
69.6%	348000	-907202.5803146851	301.0993939804263	303
69.8%	349000	-907376.4607841931	300.59140351830206	303
70.0%	350000	-906984.3885368593	297.85348155612115	302
70.2%	351000	-907901.5222659921	298.2318960468241	302
70.4%	352000	-906514.1524144812	300.4279130164871	302
70.6%	353000	-906120.139626997	299.4754857039507	302
70.8%	354000	-905533.23595744	300.74813225769395	302
71.0%	355000	-904693.5769049684	301.450800722352	302
71.2%	356000	-905375.2198861893	302.5311960951314	302
71.4%	357000	-906232.3230441883	297.78815055132657	303
71.6%	358000	-905884.6185132358	299.6990924726941	303
71.8%	359000	-906173.1992917089	300.8318422859247	303
72.0%	360000	-905621.0065078279	301.09026926167337	302
72.2%	361000	-906935.8178896871	300.39572580886573	302
72.4%	362000	-905868.8371117078	298.971561236337	302
72.6%	363000	-905411.6311014006	300.59932389123827	302
72.8%	364000	-904938.1312676128	301.64969060432963	302
73.0%	365000	-906592.9993558475	301.3919164530619	302
73.2%	366000	-905867.4833326992	299.5520936431152	302
73.4%	367000	-906060.0859604292	298.92693574956184	302
73.6%	368000	-905794.5996463946	300.71303212102373	303
73.8%	369000	-905296.145836134	299.5341946604658	303
74.0%	370000	-905180.2294247719	302.22553070338245	302
74.2%	371000	-904999.7228697161	300.99184428065496	302
74.4%	372000	-904006.4753887975	298.0065683573566	302
74.6%	373000	-906251.6961258003	299.47319099219806	302
74.8%	374000	-906223.2706766468	300.9505045713719	302
75.0%	375000	-906271.9481919594	299.1801352403421	302
75.2%	376000	-906905.3367054001	299.3264068206883	302
75.4%	377000	-906518.5150527442	301.1461984133531	302
75.6%	378000	-905581.3489638232	301.80626594099493	302
75.8%	379000	-905936.9874456357	300.09753112161474	302
76.0%	380000	-905246.0788725489	298.9168207356165	302
76.2%	381000	-904884.8431236236	300.98212577010423	302
76.4%	382000	-904808.2468121396	299.96044385742516	302
76.6%	383000	-905967.2223287649	302.52586398747553	302
76.8%	384000	-905110.6474542478	299.16125732312844	302
77.0%	385000	-904135.3170547648	300.96550953590804	302
77.2%	386000	-906751.8237676402	301.4715815684507	302
77.4%	387000	-906828.0929614622	299.1529577429474	303
77.6%	388000	-908208.6818497693	299.68463034701836	303
77.8%	389000	-906909.8436887264	301.72104198697537	303
78.0%	390000	-905412.7132497868	299.7484271711493	302
78.2%	391000	-905913.4756997181	300.725398835521	302
78.4%	392000	-905481.546893151	300.9291754770266	302
78.6%	393000	-906154.5192106357	303.6413038504973	302
