#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
1.7%	860000	-929496.7977493256	299.46507852656026	475
1.7%	870000	-930827.6926175444	299.26572865656937	475
1.8%	880000	-930254.6530457735	302.80886640126386	475
1.8%	890000	-930233.9927593791	299.2464057281791	475
1.8%	900000	-929062.4142105277	301.90060512880694	475
1.8%	910000	-929878.3988054469	301.7476821933992	475
1.8%	920000	-930274.1373775024	299.91975691999403	475
1.9%	930000	-929539.6003859402	300.10375210118053	475
1.9%	940000	-930168.7563696872	299.66852505517494	475
1.9%	950000	-930344.6825030628	299.55786642458503	475
1.9%	960000	-929873.2313088914	301.307780758258	475
1.9%	970000	-931087.059750719	300.9215906068293	475
2.0%	980000	-930859.088538032	299.1823146323309	475
2.0%	990000	-929361.1032791715	300.8982649635672	475
2.0%	1000000	-929569.0178930727	300.5538447357049	475
2.0%	1010000	-930444.7763234894	301.2567878811371	475
2.0%	1020000	-930285.4296026132	300.8847112156233	475
2.1%	1030000	-930595.7211589874	299.9148292588146	475
2.1%	1040000	-929644.5888866391	301.2249667039395	475
2.1%	1050000	-929117.9723147717	297.14683212570054	475
2.1%	1060000	-929647.8287910852	300.97137639038147	475
2.1%	1070000	-931299.9688972691	298.66832940371	475
2.2%	1080000	-930910.3347681421	299.7369148480825	475
2.2%	1090000	-930883.2376690968	299.64933660457535	475
2.2%	1100000	-929277.7902039867	300.21356891106626	475
2.2%	1110000	-930700.3690397078	299.9889766085882	475
2.2%	1120000	-928704.7468564515	299.36909342432637	475
2.3%	1130000	-930561.399406326	301.78320797270726	475
2.3%	1140000	-929573.756930742	302.9491454774176	475
2.3%	1150000	-930957.9971667407	300.0819316478436	475
2.3%	1160000	-929595.4535245118	302.1817990532851	475
2.3%	1170000	-930060.5661311839	299.08253277735486	475
2.4%	1180000	-928613.2834368986	299.64028480841034	475
2.4%	1190000	-930374.3261571275	299.02754428143925	475
2.4%	1200000	-930044.1754170838	300.3315403109401	475
2.4%	1210000	-929720.6384152411	299.47403209603044	475
2.4%	1220000	-930601.3865284482	299.70518001161224	475
2.5%	1230000	-929460.4884230844	298.6965830575343	475
2.5%	1240000	-928776.1773992442	300.2942948983002	475
2.5%	1250000	-930434.4324047952	300.0227120339245	475
2.5%	1260000	-929976.3748353054	299.87162480829863	475
2.5%	1270000	-931599.0616236343	299.6218938125872	475
2.6%	1280000	-929932.6914279182	299.5622491971891	475
2.6%	1290000	-929363.3739921474	300.9863052567133	475
2.6%	1300000	-929283.1813796372	300.749092017363	475
2.6%	1310000	-931293.0098147779	300.1857085412381	475
2.6%	1320000	-930575.1254169066	301.54457906384056	475
2.7%	1330000	-931953.0528783128	299.8861702383002	475
2.7%	1340000	-929776.591854135	300.55433842931245	474
2.7%	1350000	-930787.0683971588	301.14122460489796	475
2.7%	1360000	-930754.429919993	299.8683939768256	475
2.7%	1370000	-932205.2197435382	301.92584090034813	475
2.8%	1380000	-930541.3332713423	301.28761226825014	475
2.8%	1390000	-931824.8619558187	300.54953228588283	475
2.8%	1400000	-930721.9418017501	301.02488516891725	475
2.8%	1410000	-930802.9771284335	300.2955796802925	475
2.8%	1420000	-931016.7414547545	299.72972921006607	475
2.9%	1430000	-930878.5460788244	300.6331517501679	475
2.9%	1440000	-930676.7487241309	299.00177546318656	475
2.9%	1450000	-928766.95722534	300.7823072874447	475
2.9%	1460000	-928777.5687499368	300.0737057614201	474
2.9%	1470000	-931231.9288009368	299.17302472611493	475
