#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
31.0%	155000	-1327352.2480622586	302.15922876631606	225
31.2%	156000	-1326422.0659428295	299.0313801356674	225
31.4%	157000	-1328094.406509949	300.5464912143203	225
31.6%	158000	-1328420.4415540574	301.1281203239817	225
31.8%	159000	-1328533.0889866734	301.40700774070194	225
32.0%	160000	-1326093.01591725	301.27908190835893	225
32.2%	161000	-1325697.8028483093	300.6470311279169	225
32.4%	162000	-1326479.2804446444	301.46249276462083	225
32.6%	163000	-1327952.843134801	300.20371427215036	225
32.8%	164000	-1327800.8088795422	300.09433175157466	225
33.0%	165000	-1326762.336838182	300.669997204249	225
33.2%	166000	-1326932.0374530256	302.5258035024664	225
33.4%	167000	-1328284.8901962545	302.65845051013406	225
33.6%	168000	-1325236.7783153802	299.7017419583104	225
33.8%	169000	-1325802.559931024	299.4090366077626	225
34.0%	170000	-1326683.424977201	299.86423079967625	225
34.2%	171000	-1327359.7553352118	300.6291763946881	225
34.4%	172000	-1327237.7862835908	298.76477693265684	225
34.6%	173000	-1325335.727953514	301.0779177669913	225
34.8%	174000	-1327993.579927926	298.55247043573604	225
35.0%	175000	-1327623.7740633255	299.4808687826104	225
35.2%	176000	-1328566.917325141	299.9510073825393	225
35.4%	177000	-1328450.7547473945	297.89929964508707	225
35.6%	178000	-1328616.0205110274	299.85050841741605	225
35.8%	179000	-1330149.871552758	300.6351970252866	225
36.0%	180000	-1326699.2806584304	299.3267743160527	225
36.2%	181000	-1326294.7687139371	300.4176132472563	225
36.4%	182000	-1326580.6398557574	302.28512935957855	225
36.6%	183000	-1325812.6422576774	299.33955386839335	225
36.8%	184000	-1326462.4277113248	303.12625596465455	225
37.0%	185000	-1327013.0223829728	300.3241887672842	225
37.2%	186000	-1326041.5265421895	301.48510768117285	225
37.4%	187000	-1326884.4094637698	301.48211406980016	225
37.6%	188000	-1325952.8995142216	301.47630774323505	225
37.8%	189000	-1326439.285548985	299.12604579259596	225
38.0%	190000	-1325730.699409565	300.02745193103857	225
38.2%	191000	-1325890.8243036726	299.71365884057377	225
38.4%	192000	-1325828.5517730722	301.3974959093037	225
38.6%	193000	-1326622.9751731576	300.36398048699004	225
38.8%	194000	-1326710.2612663256	301.3341837258474	225
39.0%	195000	-1328527.683813027	300.9794449357657	225
39.2%	196000	-1325535.957043603	298.9526895516491	225
39.4%	197000	-1327069.7294741068	299.86919911589354	225
39.6%	198000	-1326118.1178071192	301.7643838953703	225
39.8%	199000	-1326166.836828054	301.3667878298398	225
40.0%	200000	-1326780.9283774756	301.21553007017746	225
40.2%	201000	-1328752.874263403	299.1205893870538	225
40.4%	202000	-1324203.2444434147	300.7318343465727	225
40.6%	203000	-1325650.6733351424	299.77949462092727	225
40.8%	204000	-1326784.4959951136	299.6297659189316	225
41.0%	205000	-1328104.9437484564	301.5933236384801	225
41.2%	206000	-1326878.0222351113	300.3546874381113	225
41.4%	207000	-1328487.237331423	300.2784479287944	225
41.6%	208000	-1329213.7233201265	300.4780541911921	225
41.8%	209000	-1325798.2502073636	300.4979885447	225
42.0%	210000	-1327550.66598228	301.3293006407977	225
42.2%	211000	-1326421.270148145	301.40377887252174	225
42.4%	212000	-1325459.8788401838	298.7123211196813	225
42.6%	213000	-1325837.801979675	300.2700590077528	225
42.8%	214000	-1326455.397534105	299.9539266661877	225
43.0%	215000	-1326895.1656370722	299.1038411077894	225
43.2%	216000	-1327368.1946884645	300.74683178253076	225
43.4%	217000	-1327145.7803588845	299.7577851232493	225
43.6%	218000	-1327005.1193333436	300.94620119216205	225
43.8%	219000	-1327266.5017136289	301.62069386945217	225
44.0%	220000	-1326868.72390264	301.3646402268125	225
44.2%	221000	-1325205.6655939268	302.0676015900466	225
