#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
1.4%	136000	-884051.1416141642	300.6131862064741	511
1.4%	137000	-885173.6031512772	299.5997999079094	511
1.4%	138000	-883902.3748851614	298.3154930107202	511
1.4%	139000	-884858.7060164958	299.7056503348645	512
1.4%	140000	-884958.0354338032	300.26260291484357	509
1.4%	141000	-884072.8260863097	298.62522891340336	509
1.4%	142000	-885463.956720944	300.42237896297024	509
1.4%	143000	-883158.0663372637	300.1636700107978	510
1.4%	144000	-885027.3952133702	295.8811540401837	510
1.4%	145000	-886460.3627810623	299.63948887519945	510
1.5%	146000	-886123.1638915106	300.9275106227139	511
1.5%	147000	-884157.1831888352	299.0054780398449	511
1.5%	148000	-885588.0050398312	301.53989122621874	511
1.5%	149000	-885080.919219296	297.84285769214415	511
1.5%	150000	-884741.1275843559	300.87773838415626	509
1.5%	151000	-884167.9136324902	297.81369050446796	509
1.5%	152000	-885018.0326086679	299.1457734398159	509
1.5%	153000	-884529.1171614951	298.35774813789607	510
1.5%	154000	-885341.2920564106	299.79604004959367	510
1.6%	155000	-884785.6279891683	298.8750879908858	510
1.6%	156000	-885944.6657421268	298.83123481746173	510
1.6%	157000	-885315.4291122514	299.6415123361506	511
1.6%	158000	-884624.7216068739	298.38598488053816	511
1.6%	159000	-884910.8676160048	300.6532091694102	511
1.6%	160000	-885078.2978145741	301.30232950670484	509
1.6%	161000	-884115.5218896158	299.7065508400565	509
1.6%	162000	-885427.3098220415	300.2193094936037	509
1.6%	163000	-885387.302860525	298.67836311621903	509
1.6%	164000	-884940.7712183488	300.08235367043216	509
1.6%	165000	-884457.3638927601	302.35198529487553	510
1.7%	166000	-883988.1012420044	300.38001167497424	510
1.7%	167000	-884568.9664167357	300.88541583610674	510
1.7%	168000	-885668.7950119311	300.5978901259967	510
1.7%	169000	-884396.0369793964	300.6595233069569	510
1.7%	170000	-883941.6564944349	299.86243168991325	508
1.7%	171000	-884401.7166508813	299.30073371554295	508
1.7%	172000	-883070.4353167615	299.94185038658287	509
1.7%	173000	-883894.3652014867	300.5827066518152	509
1.7%	174000	-884171.2735942472	301.27636559259685	509
1.8%	175000	-883030.150981213	302.171564457785	509
1.8%	176000	-883006.380054968	298.8711125811961	509
1.8%	177000	-884463.4967052313	303.2670925402006	510
1.8%	178000	-884815.1960206749	300.7434565835965	510
1.8%	179000	-883967.8695792262	300.25013550211287	510
1.8%	180000	-885329.5067073605	300.4887533502909	509
1.8%	181000	-885683.8724848996	297.6820308910848	509
1.8%	182000	-886474.897100551	301.03026735725837	509
1.8%	183000	-885037.1779100737	299.83773074763775	509
1.8%	184000	-884707.909115917	302.0263077646843	510
1.9%	185000	-884197.5232528388	300.27998841094933	510
1.9%	186000	-884916.8850332429	301.90953556950154	510
1.9%	187000	-885021.0743256537	299.8669074542369	510
1.9%	188000	-886837.9583318983	299.35936784419425	511
1.9%	189000	-886735.483588072	298.023804866556	511
1.9%	190000	-885649.5833024462	301.874436155974	509
1.9%	191000	-883821.1068450748	298.8836881869456	509
1.9%	192000	-885162.8553100377	300.6221898869776	509
1.9%	193000	-884892.4873722475	300.02880199760625	509
1.9%	194000	-884876.5555560184	300.3881648711373	509
1.9%	195000	-884805.9375374941	300.43625091066366	510
2.0%	196000	-884160.4349867865	296.9561869036595	510
2.0%	197000	-884354.3899398665	298.82802394733875	510
2.0%	198000	-884044.902376513	301.02249850165623	510
2.0%	199000	-884999.0723237814	301.2594327771657	510
2.0%	200000	-886216.1090566921	300.4725748036895	509
2.0%	201000	-884656.5893562683	301.62636955070656	509
2.0%	202000	-885086.8000664474	302.43827593066584	509
2.0%	203000	-883918.1092018513	300.50736802219376	509
2.0%	204000	-883563.0883156788	300.65721025775144	509
2.0%	205000	-883083.4006408425	303.0625979596787	509
2.1%	206000	-882352.8690817072	299.576254869462	510
2.1%	207000	-883499.0811595758	299.7901293861821	510
2.1%	208000	-884860.2910402217	300.51460489332317	510
2.1%	209000	-882566.0353812976	301.3524814027845	510
2.1%	210000	-883217.4516184232	301.7390481627745	508
2.1%	211000	-884184.8278799853	302.67648855248524	508
2.1%	212000	-883986.3261621725	299.4201706888539	509
2.1%	213000	-884010.8661283054	300.8097798361486	509
2.1%	214000	-885663.319453598	299.9591793881216	509
2.1%	215000	-885472.8387848199	302.09464298699055	509
2.2%	216000	-885346.968372168	299.2410653812699	509
2.2%	217000	-883593.0489094527	297.19700490661273	509
2.2%	218000	-885013.5750828828	298.6003607735172	510
2.2%	219000	-885531.1885250672	300.34293329749335	510
2.2%	220000	-883971.7999089765	299.2827352060933	508
2.2%	221000	-884224.3351801513	301.95691527486605	508
2.2%	222000	-884557.3346697376	299.19152451953204	508
2.2%	223000	-886171.3402063451	300.083766153158	508
2.2%	224000	-884639.88423992	299.53976934566606	509
2.2%	225000	-884699.7095563789	300.3012632421994	509
2.3%	226000	-885083.6480949507	300.42274379414073	509
2.3%	227000	-885382.2577940268	300.14402576299653	509
2.3%	228000	-883198.3640687438	298.9931453162852	509
2.3%	229000	-883289.9000592935	299.38683544917717	509
2.3%	230000	-884429.5268524401	300.0664718424785	508
